lemma,bridge_rank,pos,,
parco,712,Verb,,
servus,300,Noun,,
propter,317,Preposition,,
quod,56,Conjunction,,
nonne,1101,Adverb,,
proloquor,6882,Verb,,
adversus,720,Adverb,,
delictum,2994,Noun,,
dimitto,711,Verb,,
impietas,7285,Noun,,
iudicium,196,Noun,,
contendo,697,Verb,,
cum,29,Preposition,,
veritas,1330,Noun,,
fallo,549,Verb,,
mentior,1423,Verb,,
iniquitas,3219,Noun,,
sui,18,Pronoun,,
observo,1759,Verb,,
sustineo,670,Verb,,
sino,714,Verb,,
apud,161,Preposition,,
misericordia,1727,Noun,,
cinis,1537,Noun,,
irrisor,14166,Noun,,
fortasse,966,Adverb,,
irrideo,3422,Verb,,
converto,888,Verb,,
huc,479,Adverb,,
iste,65,Pronoun,,
dico,1972,Verb,,
mortalis,678,Adjective,,
mors,132,Noun,,
vitalis,3793,Adjective,,
suscipio,520,Verb,,
consolatio,5294,Noun,,
sicut,510,Adverb,,
parens,316,Noun,,
caro,2361,Noun,,
formo,2387,Verb,,
tempus,73,Noun,,
memini,579,Verb,,
excipio,533,Verb,,
lac,2492,Noun,,
humanus,434,Adjective,,
mater,159,Noun,,
vel,104,Conjunction,,
nutrix,2033,Noun,,
uber,2676,Noun,,
alimentum,2813,Noun,,
infantia,4585,Noun,,
secundum,1873,Preposition,,
institutio,7452,Noun,,
divitia,875,Noun,,
usque,360,Adverb,,
fundus,1503,Noun,,
dispono,1317,Verb,,
amplius,4639,Adverb,,
quam,34,Adverb,,
ordino,3308,Verb,,
affectus,1642,Noun,,
abundo,2731,Verb,,
quippe,642,Adverb,,
universus,714,Adjective,,
animadverto,1399,Verb,,
postmodum,7620,Adverb,,
tribuo,820,Verb,,
intus,1708,Preposition,,
foris,3455,Adverb,,
tum,63,Adverb,,
sugo,14166,Verb,,
nosco,330,Verb,,
delectatio,5531,Noun,,
fleo,802,Verb,,
offensio,3819,Noun,,
amplus,488,Adjective,,
rideo,743,Verb,,
coepi,236,Verb,,
dormio,1227,Verb,,
primo,3237,Number,,
deinde,182,Adverb,,
vigilo,1861,Verb,,
indico,1429,Verb,,
infans,1631,Noun,,
paulatim,1491,Adverb,,
sentio,291,Verb,,
ubi,92,Adverb,,
voluntas,596,Noun,,
ostendo,400,Verb,,
ullus,213,Adjective,,
sensus,698,Noun,,
valeo,218,Verb,,
introeo,2961,Verb,,
iacto,839,Verb,,
membrum,547,Noun,,
signum,307,Noun,,
similis,348,Adjective,,
paucus,262,Adjective,,
qualis,391,Pronoun,,
vere,1240,Adverb,,
obtempero,4201,Verb,,
obsum,2898,Verb,,
indignor,2400,Verb,,
subdo,2313,Verb,,
liber,454,Adjective,,
servio,966,Verb,,
vindico,1206,Verb,,
talis,226,Pronoun,,
disco,452,Verb,,
magis,95,Adverb,,
nutritor,10193,Noun,,
olim,709,Adverb,,
mortuus,1631,Adjective,,
vivo,171,Verb,,
primordius,9184,Adjective,,
saeculum,751,Noun,,
–que,5,Conjunction,,
instabilis,4918,Adjective,,
sto,269,Verb,,
causa,70,Noun,,
mutabilis,6032,Adjective,,
maneo,339,Verb,,
origo,1792,Noun,,
irrationalis,9485,Adjective,,
temporalis,10193,Adjective,,
sempiternus,3393,Adjective,,
ratio,169,Noun,,
supplex,1330,Adjective,,
miser,221,Adjective,,
aetas,295,Noun,,
succedo,1460,Verb,,
intra,787,Preposition,,
viscus,1503,Noun,,
nonnihil,7827,Noun,,
praegnans,6619,Adjective,,
femina,572,Noun,,
alicubi,7285,Adverb,,
pater,75,Noun,,
experimentum,3852,Noun,,
memoria,483,Noun,,
confiteor,1124,Verb,,
laus,338,Noun,,
conicio,1370,Verb,,
auctoritas,441,Noun,,
muliercula,5850,Noun,,
multus,41,Adjective,,
sensa,15606,Noun,,
finis,294,Noun,,
animal,777,Noun,,
artifex,1942,Noun,,
vena,1688,Noun,,
traho,407,Verb,,
aliunde,6512,Adverb,,
praeterquam,6312,Adverb,,
atque,30,Conjunction,,
perago,1197,Verb,,
hodiernus,3455,Adjective,,
dies,64,Noun,,
via,245,Noun,,
transeo,534,Verb,,
annus,133,Noun,,
deficio,1019,Verb,,
accipio,115,Verb,,
modus,162,Noun,,
utcumque,3219,Adverb,,
ex(s)to,2173,Verb,,
adhuc,380,Adverb,,
exsisto,1774,Verb,,
crastinus,4286,Adjective,,
ultra,982,Preposition,,
hesternus,3254,Adjective,,
retro,1891,Adverb,,
hodie,859,Adverb,,
quis,134,Pronoun,,
exaudio,2976,Verb,,
commemoro,1615,Verb,,
nemo,158,Pronoun,,
mundus,1140,Adjective,,
coram,1712,Adverb,,
quilibet,2262,Pronoun,,
tantulus,5758,Adjective,,
nunc,67,Adverb,,
parvulus,2400,Adjective,,
pecco,966,Verb,,
inhio,6032,Verb,,
ploro,3055,Verb,,
quidem,77,Adverb,,
esca,4286,Noun,,
congruo,3336,Verb,,
derideo,3558,Verb,,
reprehendo,1324,Verb,,
mos,183,Noun,,
exstirpo,9485,Verb,,
eicio,1589,Verb,,
cresco,732,Verb,,
purgo,2206,Verb,,
proicio,1736,Verb,,
noxius,2723,Adjective,,
acriter,5850,Adverb,,
subiectus,7452,Adjective,,
gigno,905,Verb,,
praeterea,530,Adverb,,
prudens,1660,Adjective,,
nutus,2609,Noun,,
ferio,1333,Verb,,
noceo,608,Verb,,
nitor,1558,Verb,,
quantum,416,Adverb,,
oboedio,4286,Verb,,
imperium,202,Noun,,
perniciosus,2961,Adjective,,
imbecillitas,4537,Noun,,
infantilis,17604,Adjective,,
innocens,1451,Adjective,,
animus,52,Noun,,
experior,790,Verb,,
nondum,672,Adverb,,
intueor,1442,Verb,,
pallidus,3219,Adjective,,
amarus,2609,Adjective,,
aspectus,1988,Noun,,
conlactaneus,20965,Noun,,
ignoro,1052,Verb,,
expio,4160,Verb,,
remedium,1491,Noun,,
innocentia,2480,Noun,,
fons,655,Noun,,
ubertim,9485,Adverb,,
mano,2387,Verb,,
ops,337,Noun,,
egens,3720,Adjective,,
duco,178,Verb,,
consors,4405,Adjective,,
patior,233,Verb,,
blandus,1239,Adjective,,
tolero,1774,Verb,,
accessus,5946,Noun,,
pereo,351,Verb,,
licet,1873,Conjunction,,
probo,462,Verb,,
fero,66,Verb,,
aequus,478,Adjective,,
quando,603,Adverb,,
annosus,5593,Adjective,,
deprehendo,1327,Verb,,
corpus,87,Noun,,
instruo,948,Verb,,
compingo,7129,Verb,,
figura,1374,Noun,,
decoro,3917,Verb,,
universitas,8421,Noun,,
incolumitas,4537,Noun,,
conatus,3035,Noun,,
animo,3656,Verb,,
insinuo,4120,Verb,,
psallo,7010,Verb,,
nomen,91,Noun,,
altus,342,Adjective,,
bonus,69,Adjective,,
etiamsi,1017,Conjunction,,
solus,167,Adjective,,
formosus,1279,Adjective,,
lex,134,Noun,,
quamquam,415,Conjunction,,
multum,444,Adverb,,
fidus,1399,Adjective,,
piget,3035,Verb,,
annumero,5850,Verb,,
attineo,2927,Verb,,
oblivio,3237,Noun,,
tenebrae,958,Noun,,
pār,340,Adjective,,
uterus,2863,Noun,,
concipio,1370,Verb,,
alo,839,Verb,,
oro,618,Verb,,
omitto,1025,Verb,,
vestigium,875,Noun,,
recolo,6414,Verb,,
pergo,1144,Verb,,
pueritia,3219,Noun,,
discedo,590,Verb,,
abeo,484,Verb,,
for,1333,Verb,,
puer,198,Noun,,
adverto,1972,Verb,,
doceo,310,Verb,,
praebeo,689,Verb,,
verbum,149,Noun,,
certus,227,Adjective,,
ordo,320,Noun,,
doctrina,2377,Noun,,
paulo,867,Adverb,,
littera,332,Noun,,
mens,185,Noun,,
gemitus,1584,Noun,,
varius,465,Adjective,,
motus,807,Noun,,
edo,820,Verb,,
pareo,843,Verb,,
penso,4537,Verb,,
appello,2492,Verb,,
moveo,266,Verb,,
teneo,139,Verb,,
voco,181,Verb,,
sono,1140,Verb,,
tamquam,521,Adverb,,
naturalis,2328,Adjective,,
gens,258,Noun,,
vultus,356,Noun,,
ceterus,174,Adjective,,
actus,3819,Noun,,
sonitus,2104,Noun,,
affectio,5675,Noun,,
reicio,2154,Verb,,
fugio,264,Verb,,
ve,398,Conjunction,,
sententia,359,Noun,,
pono,165,Verb,,
creber,1197,Adjective,,
colligo,3536,Verb,,
edomo,8902,Verb,,
os,204,Noun,,
enuntio,4814,Verb,,
inter,83,Preposition,,
communico,3286,Verb,,
procellosus,8659,Adjective,,
societas,1267,Noun,,
alte,1995,Adverb,,
ingredior,993,Verb,,
pendeo,1067,Verb,,
ludificatio,17604,Noun,,
quandoquidem,4286,Conjunction,,
recte,4639,Adverb,,
propono,983,Verb,,
moneo,734,Verb,,
floreo,1344,Verb,,
excello,4585,Verb,,
linguosus,15606,Adjective,,
ars,272,Noun,,
honor,205,Noun,,
falsus,824,Adjective,,
famulor,7452,Verb,,
schola,3133,Noun,,
utilitas,1156,Noun,,
segnis,2029,Adjective,,
vapulo,4918,Verb,,
maiores,687,Noun,,
praestruo,11106,Verb,,
aerumnosus,9184,Adjective,,
cogo,273,Verb,,
multiplico,4814,Verb,,
labor,249,Noun,,
dolor,277,Noun,,
adam,4537,Noun,,
appareo,1039,Verb,,
subvenio,2601,Verb,,
auxilium,446,Noun,,
refugium,14166,Noun,,
invocatio,17604,Noun,,
rumpo,897,Verb,,
nodus,2400,Noun,,
lingua,565,Noun,,
insipientia,15606,Noun,,
accido,4201,Verb,,
plaga,2063,Noun,,
gravis,197,Adjective,,
tam,90,Adverb,,
praegrandis,13204,Adjective,,
cohaereo,3917,Verb,,
inquam,128,Verb,,
quidam,106,Pronoun,,
stoliditas,17604,Noun,,
pius,819,Adjective,,
grandis,1011,Adjective,,
equuleus,7452,Noun,,
ungula,4488,Noun,,
tormentum,1535,Noun,,
effugio,1173,Verb,,
timor,661,Noun,,
supplico,3422,Verb,,
aestimo,1148,Verb,,
diligo,714,Verb,,
acerbus,1129,Adjective,,
formido,3819,Verb,,
quemadmodum,690,Adverb,,
magister,765,Noun,,
affligo,1995,Verb,,
minus,3501,Noun,,
metuo,572,Verb,,
evado,1774,Verb,,
deprecor,1906,Verb,,
scribo,212,Verb,,
lego,266,Verb,,
cogito,472,Verb,,
ingenium,321,Noun,,
satis,188,Adverb,,
ludo,799,Verb,,
nugae,3133,Noun,,
negotium,698,Noun,,
punior,6414,Verb,,
miseror,2706,Verb,,
uterque,247,Pronoun,,
approbo,3009,Verb,,
arbiter,2400,Noun,,
pila,5231,Noun,,
ludus,746,Noun,,
impedio,1113,Verb,,
quominus,2130,Conjunction,,
celeriter,1363,Adverb,,
deformis,2976,Adjective,,
quaestiuncula,11694,Noun,,
condoctor,20965,Noun,,
vinco,165,Verb,,
bilis,4488,Noun,,
invidia,709,Noun,,
torqueo,1029,Verb,,
certamen,1088,Noun,,
collusor,9485,Noun,,
supero,603,Verb,,
ordinator,14166,Noun,,
creator,8216,Noun,,
tantus,81,Adjective,,
contra,179,Preposition,,
praeceptum,1302,Noun,,
postea,579,Adverb,,
bene,191,Adverb,,
utor,285,Verb,,
quoque,88,Adverb,,
melior,2453,Adjective,,
eligo,1015,Verb,,
inobediens,17604,Adjective,,
amor,150,Noun,,
victoria,656,Noun,,
scalpo,9485,Verb,,
fabella,7285,Noun,,
prurio,6512,Verb,,
ardens,2510,Adjective,,
curiositas,7285,Noun,,
emico,4016,Verb,,
spectaculum,1605,Noun,,
dignitas,513,Noun,,
praeditus,2262,Adjective,,
paene,813,Adverb,,
opto,576,Verb,,
caedo,847,Verb,,
libens,2453,Adjective,,
studium,257,Noun,,
cupio,341,Verb,,
pervenio,413,Verb,,
libero,882,Verb,,
aeternus,859,Adjective,,
promitto,644,Verb,,
humilitas,4814,Noun,,
superbia,1906,Noun,,
signo,1881,Verb,,
crux,1918,Noun,,
condio,5850,Verb,,
sal,2187,Noun,,
spero,556,Verb,,
pressus,14166,Noun,,
stomachus,3254,Noun,,
repente,1019,Adverb,,
custos,867,Noun,,
baptismum,9485,Noun,,
christus,1098,Noun,,
flagito,2480,Verb,,
pietas,777,Noun,,
ecclesia,2154,Noun,,
conturbo,4757,Verb,,
carus,524,Adjective,,
parturio,5038,Verb,,
castus,1250,Adjective,,
curo,537,Verb,,
festinabundus,20965,Adjective,,
sacramentum,2944,Noun,,
salutaris,2813,Adjective,,
initio,6216,Verb,,
abluo,4757,Verb,,
iesus,1179,Noun,,
remissio,4537,Noun,,
statim,428,Adverb,,
recreo,3035,Verb,,
differo,920,Verb,,
mundatio,20965,Noun,,
quasi,282,Adverb,,
necesse,553,Adjective,,
sordido,13204,Verb,,
videlicet,2568,Adverb,,
lavacrum,5758,Noun,,
periculosus,2130,Adjective,,
sordes,2976,Noun,,
reatus,9184,Noun,,
evinco,5231,Verb,,
