lemma,bridge_rank,pos,,
cenimagnus,20965,Adjective,,
segontiacus,20965,Adjective,,
ancalites,20965,Noun,,
bibrocus,20965,Adjective,,
cassus,20965,Adjective,,
carvilius,17604,Noun,,
taximagulus,20965,Noun,,
segovax,20965,Noun,,
lugotorix,20965,Noun,,
multum,1649,Noun,,
extraho,3081,Verb,,
depereo,6216,Verb,,
inanis,1104,Adjective,,
excludo,2187,Verb,,
samarobriva,13204,Noun,,
provenio,4160,Verb,,
cicero,1589,Noun,,
roscius,1925,Noun,,
confinium,6740,Noun,,
muniatus,9796,Noun,,
plancus,6414,Noun,,
padus,4869,Noun,,
ambiorix,4869,Noun,,
catuvolcus,13204,Noun,,
medeor,3852,Verb,,
pacatus,4981,Adjective,,
quietus,1881,Adjective,,
tasgentius,12372,Noun,,
benevolentia,2537,Noun,,
regno,1339,Verb,,
inimicus,973,Noun,,
palam,1186,Adverb,,
impulsus,4455,Noun,,
praesto,2609,Adverb,,
lignator,17604,Noun,,
hispanus,3755,Adjective,,
controversia,2441,Noun,,
arpineius,14166,Noun,,
iunius,2663,Noun,,
missus,7452,Noun,,
coactus,10193,Noun,,
porro,1296,Adverb,,
adeo,474,Adverb,,
levo,1447,Verb,,
ignobilis,3917,Adjective,,
quantusvis,8017,Pronoun,,
posterius,1460,Adverb,,
sero,2944,Adverb,,
ardeo,867,Verb,,
dissentio,2898,Verb,,
disputatio,4242,Noun,,
clarus,365,Adjective,,
vos,122,Pronoun,,
sapio,1137,Verb,,
reposco,3852,Verb,,
perendinus,13204,Adjective,,
relego,2343,Verb,,
intereo,2121,Verb,,
consurgo,2787,Verb,,
dissensio,3422,Noun,,
circumspicio,2832,Verb,,
instrumentum,2927,Noun,,
excogito,2944,Verb,,
languor,4757,Noun,,
occultus,1374,Adjective,,
demitto,1615,Verb,,
trepido,2063,Verb,,
concurso,7452,Verb,,
obeo,1511,Verb,,
incommodus,5294,Adjective,,
desperatio,4405,Noun,,
arripio,2500,Verb,,
proinde,1520,Adverb,,
quispiam,2492,Pronoun,,
refugio,2471,Verb,,
conflicto,6414,Verb,,
balventius,17604,Noun,,
femur,4371,Noun,,
traicio,2640,Verb,,
lucanius,15606,Noun,,
adhortor,4325,Verb,,
sermo,394,Noun,,
ululatus,4585,Noun,,
petrosidius,17604,Noun,,
aquilifer,11106,Noun,,
elabor,3254,Verb,,
profiteor,1719,Verb,,
adiutor,3254,Noun,,
grudius,17604,Adjective,,
levacus,17604,Adjective,,
pleumoxius,17604,Adjective,,
geidumnus,17604,Adjective,,
lignatio,17604,Noun,,
adipiscor,1938,Verb,,
quies,1029,Noun,,
praeuro,10611,Verb,,
contabulo,12372,Verb,,
lorica,3852,Noun,,
attexo,13204,Verb,,
valetudo,1523,Noun,,
addo,378,Verb,,
ostento,2144,Verb,,
diffido,3558,Verb,,
ferramentum,7129,Noun,,
circum–cido,7010,Verb,,
sagulum,11106,Noun,,
exhaurio,2262,Verb,,
ferveo,2241,Verb,,
fusilis,15606,Adjective,,
argilla,8421,Noun,,
glans,4286,Noun,,
iaculum,2832,Noun,,
ferve–facio,12372,Verb,,
casa,2847,Noun,,
stramentum,7452,Noun,,
scalae,4242,Noun,,
flamma,518,Noun,,
torreo,2287,Verb,,
conflagro,7827,Verb,,
constipo,14166,Verb,,
recessus,3889,Noun,,
deturbo,5946,Verb,,
pullo,9485,Noun,,
vorenus,10193,Noun,,
antefero,4981,Verb,,
simultas,4488,Noun,,
verutum,12372,Noun,,
balteus,5379,Noun,,
vagina,6116,Noun,,
succurro,2144,Verb,,
ambo,1327,Number,,
verso,1798,Verb,,
diiudico,17604,Verb,,
asper,1220,Adjective,,
tanto,1660,Adverb,,
vertico,15606,Noun,,
antecursor,14166,Noun,,
interitus,2813,Noun,,
caedes,566,Noun,,
perscribo,3793,Verb,,
epistula,659,Noun,,
amentum,12372,Noun,,
adhaeresco,9184,Verb,,
demo,2085,Verb,,
perlego,3852,Verb,,
admoneo,1129,Verb,,
cautus,2771,Adjective,,
rivus,2418,Noun,,
elicio,4120,Verb,,
obstruo,5294,Verb,,
praeco,2813,Noun,,
circummitto,12372,Verb,,
contemno,653,Verb,,
ea,10193,Adverb,,
introrumpo,14166,Verb,,
contio,1101,Noun,,
temeritas,2510,Noun,,
diutinus,4757,Adjective,,
consulto,3889,Verb,,
desertus,3133,Adjective,,
sollicitudo,2048,Noun,,
aremoricus,14166,Adjective,,
cavarinus,17604,Noun,,
moritasgus,20965,Noun,,
praesentio,7285,Verb,,
praecipuus,1665,Adjective,,
erga,1948,Preposition,,
suspectus,2898,Adjective,,
haud,371,Adverb,,
mirandus,7452,Adjective,,
pecunia,229,Noun,,
transitus,3755,Noun,,
exsul,1897,Noun,,
allicio,5531,Verb,,
instigo,6216,Verb,,
voluntarii,20965,Noun,,
pubes,3852,Noun,,
gener,1629,Noun,,
publico,4325,Verb,,
eminus,4201,Adverb,,
comprobo,2944,Verb,,
silanus,3720,Noun,,
antistius,6740,Noun,,
reginus,14166,Noun,,
dilectus,2537,Noun,,
cisalpinus,20965,Adjective,,
sarcio,5675,Verb,,
foedus,1035,Noun,,
cisrhenanus,20965,Adjective,,
ver,1957,Noun,,
lutetia,11106,Noun,,
parisius,11694,Adjective,,
confinis,8216,Adjective,,
suggestus,8017,Noun,,
acco,15606,Noun,,
venia,1270,Noun,,
excusatio,3009,Noun,,
aestivus,3286,Adjective,,
quaestio,1503,Noun,,
clientela,6116,Noun,,
iracundia,2914,Noun,,
mereo,673,Verb,,
confugio,2524,Verb,,
devoco,8421,Verb,,
placide,6216,Adverb,,
cerno,651,Verb,,
infestus,1286,Adjective,,
percipio,1938,Verb,,
comitor,2069,Verb,,
laedo,804,Verb,,
nocens,2524,Adjective,,
perquiro,7452,Verb,,
bacenis,20965,Noun,,
nativus,5102,Adjective,,
cheruscius,6414,Adjective,,
iactura,3286,Noun,,
infectus,5531,Adjective,,
inimicitia,2480,Noun,,
status,1701,Noun,,
tributum,2976,Noun,,
druides,5675,Noun,,
sacrificium,3536,Noun,,
procuro,5170,Verb,,
interpretor,3081,Verb,,
hereditas,2010,Noun,,
decretum,1736,Noun,,
impius,1260,Adjective,,
sceleratus,2130,Adjective,,
defugio,8216,Verb,,
contagio,4696,Noun,,
suffragium,2377,Noun,,
allego,10611,Verb,,
consecratus,12372,Adjective,,
militia,1520,Noun,,
vacatio,5850,Noun,,
immunitas,7129,Noun,,
viceni,8659,Number,,
perdisco,8017,Verb,,
sidus,651,Noun,,
disputo,2154,Verb,,
soleo,201,Verb,,
ambactus,8421,Noun,,
deditus,4325,Adjective,,
affectus,6414,Adjective,,
morbus,759,Noun,,
victima,2650,Noun,,
immolo,4054,Verb,,
voveo,2069,Verb,,
administer,8902,Noun,,
numen,537,Noun,,
placo,2057,Verb,,
simulacrum,1523,Noun,,
vivus,861,Adjective,,
latrocinium,3286,Noun,,
aliqua,4325,Adverb,,
mercurius,2590,Noun,,
inventor,7620,Noun,,
quaestus,2069,Noun,,
mercatura,9485,Noun,,
apollo,1330,Noun,,
mars,929,Noun,,
minerva,1830,Noun,,
artificium,3625,Noun,,
dis,3308,Noun,,
natalis,3081,Adjective,,
adolesco,3393,Verb,,
publicum,2400,Noun,,
adsisto,3035,Verb,,
dos,1881,Noun,,
aestimatio,3720,Noun,,
coniunctim,17604,Adverb,,
fructus,909,Noun,,
illustris,1732,Adjective,,
excrucio,5102,Verb,,
funus,861,Noun,,
magnificus,1678,Adjective,,
sumptuosus,5170,Adjective,,
aperte,3055,Adverb,,
vulcanus,3656,Noun,,
duritia,5593,Noun,,
impubes,8421,Adjective,,
notitia,3501,Noun,,
occultatio,17604,Noun,,
promiscu(u)s,4488,Adjective,,
per–luo,9184,Verb,,
reno,20965,Noun,,
caseus,4585,Noun,,
proprius,619,Adjective,,
cognatio,4371,Noun,,
coeo,1742,Verb,,
alio,4201,Adverb,,
assiduus,1451,Adjective,,
accuratus,6512,Adjective,,
infamia,2524,Noun,,
desidia,3590,Noun,,
desertor,6882,Noun,,
proditor,3720,Noun,,
derogo,8017,Verb,,
violo,1281,Verb,,
colonia,1579,Noun,,
fertilis,3254,Adjective,,
hercynius,10611,Adjective,,
eratosthenes,14166,Noun,,
orcynia,20965,Noun,,
volcae,12372,Noun,,
tectosages,20965,Noun,,
bellicus,3336,Adjective,,
egestas,2640,Noun,,
patientia,1837,Noun,,
transmarinus,8421,Adjective,,
rectus,583,Adjective,,
danuvius,6312,Noun,,
dacus,5946,Adjective,,
anartis,20965,Adjective,,
sinistrorsus,13204,Adverb,,
fera,942,Noun,,
bos,1129,Noun,,
cervus,3055,Noun,,
excelsus,2640,Adjective,,
palma,1566,Noun,,
diffundo,2741,Verb,,
mas,3962,Noun,,
alces,13204,Noun,,
capra,7010,Noun,,
varietas,2832,Noun,,
mutilus,11694,Adjective,,
crus,1938,Noun,,
articulus,4455,Noun,,
cubile,2313,Noun,,
applico,2914,Verb,,
reclino,8421,Verb,,
venator,3889,Noun,,
urus,11694,Noun,,
elephantus,2554,Noun,,
taurus,1296,Noun,,
velocitas,3755,Noun,,
studiosus,2104,Adjective,,
fovea,6740,Noun,,
duro,1817,Verb,,
assuesco,2626,Verb,,
mansue–facio,14166,Verb,,
labrum,7827,Noun,,
argentum,852,Noun,,
circumcludo,11106,Verb,,
epulae,1894,Noun,,
poculum,1460,Noun,,
tabulatum,5850,Noun,,
volcacius,17604,Noun,,
tullus,4405,Noun,,
maturesco,9184,Verb,,
minucius,4639,Noun,,
basilus,9796,Noun,,
incautus,3108,Adjective,,
imparatus,6740,Adjective,,
comes,564,Noun,,
dimidius,3917,Adjective,,
detestor,5170,Verb,,
taxus,8659,Noun,,
segnus,20965,Adjective,,
aduatuca,15606,Noun,,
tullius,2787,Noun,,
versus,4869,Adverb,,
adiaceo,5675,Verb,,
scaldis,20965,Noun,,
abditus,4405,Adjective,,
vicinitas,5531,Noun,,
stirps,1906,Noun,,
insidior,4405,Verb,,
circumfundo,3009,Verb,,
natus,3009,Adjective,,
sector,3393,Verb,,
fortunatus,3755,Adjective,,
obsessio,10193,Noun,,
siquidem,3108,Conjunction,,
oppono,1649,Verb,,
seges,2079,Noun,,
convalesco,4918,Verb,,
subsido,3983,Verb,,
intervenio,3254,Verb,,
mentio,2568,Noun,,
careo,730,Verb,,
immineo,1631,Verb,,
discrimen,1148,Noun,,
frumentatio,12372,Noun,,
praecurro,5102,Verb,,
novitas,2847,Noun,,
cuneus,4054,Noun,,
etiamnum,2524,Adverb,,
prosum,571,Verb,,
expugnatio,8017,Noun,,
alieno,5675,Verb,,
optatus,3590,Adjective,,
paulum,5675,Noun,,
latebra,2601,Noun,,
saltus,2154,Noun,,
damnum,1052,Noun,,
durocortorum,20965,Noun,,
agedincum,13204,Noun,,
clodius,2251,Noun,,
iuvenis,867,Adjective,,
transalpinus,8421,Adjective,,
affingo,7620,Verb,,
urbanus,1665,Adjective,,
recido,4814,Verb,,
deposco,3917,Verb,,
clandestinus,6740,Adjective,,
agito,985,Verb,,
caerimonia,3755,Noun,,
cotuatus,17604,Noun,,
conconnetodumnus,20965,Noun,,
desperatus,7827,Adjective,,
cenabum,10611,Noun,,
civis,219,Noun,,
negotior,5531,Verb,,
fufius,6312,Noun,,
cita,20965,Noun,,
iussus,2121,Noun,,
ubicumque,3558,Adverb,,
vercingetorix,4696,Noun,,
celtillus,20965,Noun,,
gobannitio,20965,Noun,,
patruus,2121,Noun,,
gergovia,9184,Noun,,
adversarius,1708,Adjective,,
cadurcus,10611,Adjective,,
lemovices,14166,Noun,,
severitas,1948,Noun,,
deseco,8902,Verb,,
effodio,3558,Verb,,
documentum,3536,Noun,,
lucterius,9184,Noun,,
nitiobriges,14166,Noun,,
gabalus,14166,Adjective,,
anteverto,10611,Verb,,
provincialis,6619,Adjective,,
arecomicus,14166,Adjective,,
supplementum,7620,Noun,,
helvius,11106,Noun,,
cebenna,15606,Noun,,
nix,1774,Noun,,
discutio,2663,Verb,,
usuvenit,9184,Verb,,
per–vagor,6619,Verb,,
vienna,11694,Noun,,
gorgobina,20965,Noun,,
subvectio,14166,Noun,,
perpetior,2650,Verb,,
vellaunodunum,15606,Noun,,
circumvallo,9485,Verb,,
excubo,5379,Verb,,
cenabensis,17604,Adjective,,
obviam,2803,Adverb,,
avaricum,9184,Noun,,
seco,1589,Verb,,
detracto,10193,Verb,,
receptaculum,5231,Noun,,
coniunx,432,Noun,,
solacium,1491,Noun,,
perangustus,11106,Adjective,,
dissuadeo,6740,Verb,,
apparo,4981,Verb,,
tenuitas,9184,Noun,,
indiligentia,13204,Noun,,
maiestas,1499,Noun,,
ignominia,2524,Noun,,
acerbitas,4455,Noun,,
parento,7620,Verb,,
artus,2182,Adjective,,
expedio,1413,Verb,,
leviter,2650,Adverb,,
infimum,10611,Noun,,
interrumpo,4537,Verb,,
haesito,4757,Verb,,
exposco,4814,Verb,,
condemno,1579,Verb,,
proditio,3793,Noun,,
insimulo,4639,Verb,,
fortuito,9184,Adverb,,
concessus,9485,Noun,,
paluster,6882,Adjective,,
mollitia,5758,Noun,,
turpiter,3625,Adverb,,
sincere,11694,Adverb,,
sufficio,1218,Verb,,
vester,189,Adjective,,
sanguis,326,Noun,,
concrepo,8216,Verb,,
sollertia,4371,Noun,,
laqueus,2863,Noun,,
scienter,11694,Adverb,,
ferrariia,17604,Noun,,
usitatus,5294,Adjective,,
corium,4325,Noun,,
intego,7129,Verb,,
pix,6116,Noun,,
effercio,13204,Verb,,
coagmento,13204,Verb,,
expleo,1942,Verb,,
alternus,2241,Adjective,,
linea,4054,Noun,,
distraho,2741,Verb,,
lutum,3819,Noun,,
fumo,3366,Verb,,
fax,1096,Noun,,
restinguo,4488,Verb,,
deuro,11106,Verb,,
pluteus,7620,Noun,,
inspecto,5170,Verb,,
dignus,298,Adjective,,
praetereo,983,Verb,,
sebum,15606,Noun,,
glaeba,3422,Noun,,
scorpio,7285,Noun,,
fungor,2048,Verb,,
propugnator,5458,Noun,,
persto,4242,Verb,,
praeoccupo,8659,Verb,,
cuneatim,17604,Adverb,,
depugno,6512,Verb,,
seditio,1810,Noun,,
disparo,15606,Verb,,
proventus,6512,Noun,,
nimius,929,Adjective,,
obsequentia,20965,Noun,,
obsisto,3455,Verb,,
ingratus,1011,Adjective,,
affirmatio,9796,Noun,,
consterno,7452,Verb,,
subdolus,5758,Adjective,,
permagnus,6312,Adjective,,
teutomatus,17604,Noun,,
ollivico,20965,Noun,,
regius,985,Adjective,,
convictolitavis,11106,Noun,,
cotus,12372,Noun,,
valetiacus,20965,Noun,,
detrimentosus,20965,Adjective,,
praeverto,5675,Verb,,
decetia,20965,Noun,,
sacerdos,1186,Noun,,
devinco,3819,Verb,,
elaver,15606,Noun,,
necubi,12372,Conjunction,,
autumnus,3819,Noun,,
coniectura,3983,Noun,,
circumcisus,11106,Adjective,,
nimis,973,Adverb,,
adiudico,9184,Verb,,
litavicus,8659,Noun,,
disceptator,10611,Noun,,
lacrimo,2663,Verb,,
eporedorix,9796,Noun,,
viridomarus,10611,Noun,,
nefarius,1579,Adjective,,
continuo,2274,Adverb,,
pravus,2319,Adjective,,
momentum,2400,Noun,,
fraus,1072,Noun,,
nefas,1396,Noun,,
patronus,1548,Noun,,
crebro,4016,Adverb,,
ortus,2018,Noun,,
innascor,6619,Verb,,
proclino,17604,Verb,,
aristius,13204,Noun,,
cavillonum,17604,Noun,,
contamino,4981,Verb,,
compendium,5231,Noun,,
exterreo,3035,Verb,,
mitis,1344,Adjective,,
confluo,4639,Verb,,
dorsum,3286,Noun,,
tumultuosus,8659,Adjective,,
mulus,5294,Noun,,
mulio,7129,Noun,,
cassis,6116,Noun,,
circumvehor,7620,Verb,,
ostentatio,5294,Noun,,
anfractus,8902,Noun,,
mollio,2961,Verb,,
clivus,4537,Noun,,
praeduco,11694,Verb,,
conquiesco,6312,Verb,,
cano,751,Verb,,
contionor,7827,Verb,,
vestis,544,Noun,,
pectus,287,Noun,,
promineo,6216,Verb,,
avaricensis,20965,Adjective,,
prius,1240,Number,,
manipularis,8421,Adjective,,
excepto,12372,Verb,,
profero,843,Verb,,
praemetuo,12372,Verb,,
similitudo,2510,Noun,,
umerus,1232,Noun,,
exsero,4455,Verb,,
pactus,11694,Adjective,,
petronius,7827,Noun,,
excido,4201,Verb,,
intolerans,11694,Adjective,,
advoco,2554,Verb,,
quantopere,7827,Adverb,,
licentia,1786,Noun,,
modestia,2241,Noun,,
continentia,4325,Noun,,
admaturo,20965,Verb,,
multo,4757,Verb,,
extorqueo,3133,Verb,,
partior,4120,Verb,,
aveho,5850,Verb,,
corrumpo,900,Verb,,
oppositus,7452,Adjective,,
abiungo,12372,Verb,,
repleo,2803,Verb,,
camulogenus,14166,Noun,,
difficulter,6414,Adverb,,
metlosedum,14166,Noun,,
infidelis,8216,Adjective,,
industrius,6116,Adjective,,
transmitto,2343,Verb,,
tumultuor,6882,Verb,,
ductus,5170,Noun,,
permisceo,2471,Verb,,
indulgentia,2741,Noun,,
separo,2976,Verb,,
contentus,1197,Adjective,,
resido,3422,Verb,,
donnotaurus,17604,Noun,,
otium,693,Noun,,
comitium,3679,Noun,,
cavarillus,17604,Noun,,
fugo,1855,Verb,,
alesia,8216,Noun,,
mandubius,14166,Adjective,,
sub–luo,12372,Verb,,
fastigium,2298,Noun,,
maceria,9485,Noun,,
excubitor,14166,Noun,,
irruptio,7620,Noun,,
coarto,8017,Verb,,
viritim,5758,Adverb,,
parcus,2010,Adjective,,
tantundem,6414,Adverb,,
campester,7129,Adjective,,
derivo,7827,Verb,,
commissura,9796,Noun,,
materior,17604,Verb,,
delibro,17604,Verb,,
cacumen,3336,Noun,,
stipes,3286,Noun,,
implico,2130,Verb,,
vallus,8216,Noun,,
cippus,11694,Noun,,
quincunx,10193,Noun,,
scrobis,5758,Noun,,
fodio,3286,Verb,,
teres,3962,Adjective,,
stabilio,8659,Verb,,
exculco,15606,Verb,,
octoni,10193,Number,,
flos,905,Noun,,
lilium,4242,Noun,,
hamus,4585,Noun,,
infigo,4639,Verb,,
infodio,9485,Verb,,
dissero,4371,Verb,,
stimulus,2927,Noun,,
conveho,8216,Verb,,
discerno,2676,Verb,,
brannovice,20965,Noun,,
eleutetus,20965,Adjective,,
vellavus,20965,Adjective,,
petrocorius,20965,Adjective,,
cenomanus,17604,Adjective,,
ambibarius,20965,Adjective,,
caletes,20965,Noun,,
immunis,4160,Adjective,,
consensio,8017,Noun,,
incumbo,2219,Verb,,
recenseo,5675,Verb,,
vercasslvellaunus,14166,Noun,,
consobrinus,8659,Noun,,
critognatus,17604,Noun,,
resideo,2961,Verb,,
exspolio,12372,Verb,,
stultitia,2590,Noun,,
prosterno,2328,Verb,,
addico,2944,Verb,,
praesaepio,14166,Verb,,
teuton,13204,Adjective,,
subigo,1925,Verb,,
iniungo,4585,Verb,,
securis,2182,Noun,,
maestus,1137,Adjective,,
harpago,13204,Noun,,
librile,20965,Noun,,
protero,6414,Verb,,
antonius,683,Noun,,
transfodio,9796,Verb,,
circumplector,11106,Verb,,
caninius,6619,Noun,,
rebilus,10193,Noun,,
definio,3889,Verb,,
musculus,7285,Noun,,
declivitas,20965,Noun,,
contego,3254,Verb,,
succumbo,3590,Verb,,
dimicatio,5231,Noun,,
accelero,5946,Verb,,
devexus,7129,Adjective,,
sedulius,20965,Noun,,
sempronius,6619,Noun,,
rutilus,12372,Noun,,
matisco,20965,Noun,,
lepidus,2832,Adjective,,
libellus,1072,Noun,,
pumex,5231,Noun,,
expolio,9796,Verb,,
cornelius,1972,Noun,,
italus,2626,Adjective,,
aevum,1129,Noun,,
charta,2251,Noun,,
laboriosus,3983,Adjective,,
qualiscumque,4092,Pronoun,,
patrona,7285,Noun,,
perennis,3336,Adjective,,
delicia,1837,Noun,,
puella,311,Noun,,
morsus,2577,Noun,,
desiderium,1479,Noun,,
nitens,6740,Adjective,,
nescioquis,1759,Pronoun,,
iocor,4371,Verb,,
solaciolum,14166,Noun,,
ardor,1963,Noun,,
pernix,5758,Adjective,,
aureolus,8659,Adjective,,
malum,3720,Noun,,
zona,4757,Noun,,
lugeo,1759,Verb,,
venus,486,Noun,,
cupido,2771,Noun,,
venustus,4537,Adjective,,
mellitus,5946,Adjective,,
circumsilio,12372,Verb,,
illuc,1861,Adverb,,
domina,905,Noun,,
pipio,11694,Verb,,
tenebricosus,9485,Adjective,,
orcus,3558,Noun,,
bellus,1988,Adjective,,
devoro,3081,Verb,,
misellus,4371,Adjective,,
turgidulus,14166,Adjective,,
rubeo,2319,Verb,,
ocellus,3455,Noun,,
phaselus,7452,Noun,,
nato,2274,Verb,,
nequeo,1566,Verb,,
palmula,7452,Noun,,
volo,1294,Verb,,
linteum,3983,Noun,,
minax,2813,Adjective,,
adriaticus,13204,Adjective,,
cyclades,7827,Noun,,
rhodus,5850,Noun,,
horridus,1906,Adjective,,
thracius,5102,Adjective,,
propontis,11106,Noun,,
trux,2492,Adjective,,
ponticus,3176,Adjective,,
comatus,8902,Adjective,,
cytorius,15606,Adjective,,
sibilus,8216,Noun,,
coma,867,Noun,,
amastris,15606,Noun,,
cytorus,13204,Noun,,
buxifer,15606,Adjective,,
cognitus,6032,Adjective,,
aequor,820,Noun,,
impotens,3501,Adjective,,
fretum,1442,Noun,,
erus,2441,Noun,,
laeva,10193,Adverb,,
aura,703,Noun,,
votum,516,Noun,,
litoralis,14166,Adjective,,
limpidus,10193,Adjective,,
reconditus,9184,Adjective,,
seneo,13204,Verb,,
dedico,3081,Verb,,
gemellus,6512,Adjective,,
castor,2741,Noun,,
lesbia,3501,Noun,,
severus,1386,Adjective,,
as,3852,Noun,,
basium,3889,Noun,,
flavius,3286,Noun,,
catullus,2328,Noun,,
illepidus,8902,Adjective,,
inelegans,15606,Adjective,,
verum,502,Conjunction,,
febriculosus,15606,Adjective,,
scortum,3983,Noun,,
viduus,3393,Adjective,,
serta,4160,Noun,,
syrius,6032,Adjective,,
fragro,7827,Verb,,
olivum,6882,Noun,,
pulvinus,7620,Noun,,
peraeque,9796,Adverb,,
illic,1531,Pronoun,,
attritus,10193,Adjective,,
tremulus,3009,Adjective,,
quatio,1672,Verb,,
lectus,1296,Noun,,
argutatio,15606,Noun,,
inambulatio,14166,Noun,,
ecfutuo,14166,Verb,,
ineptiae,5675,Noun,,
basiatio,13204,Noun,,
libys,9485,Noun,,
lasarpicifer,15606,Adjective,,
cyrenae,11694,Noun,,
oraculum,2695,Noun,,
aestuosus,8017,Adjective,,
battus,9796,Noun,,
sacer,480,Adjective,,
sepulcrum,1665,Noun,,
furtivus,3917,Adjective,,
basio,4757,Verb,,
vesanus,4201,Adjective,,
pernumero,13204,Verb,,
curiosus,3477,Adjective,,
fascino,12372,Verb,,
desino,768,Verb,,
ineptio,13204,Verb,,
fulgeo,1608,Verb,,
candidus,1035,Adjective,,
iocosus,5038,Adjective,,
obduro,8421,Verb,,
scelestus,3176,Adjective,,
labellum,3917,Noun,,
mordeo,3679,Verb,,
destinatus,12372,Adjective,,
veranius,7620,Noun,,
antisto,8421,Verb,,
penates,1830,Noun,,
unanimus,7827,Adjective,,
anus,2430,Noun,,
beatus,623,Adjective,,
viso,1558,Verb,,
hiberus,5675,Adjective,,
collum,900,Noun,,
iucundus,922,Adjective,,
suavior,10193,Verb,,
varus,2847,Noun,,
otiosus,2231,Adjective,,
scortillum,15606,Noun,,
sane,1286,Adverb,,
invenustus,9796,Adjective,,
bithynia,4488,Noun,,
praetor,508,Noun,,
unctus,7010,Adjective,,
irrumator,15606,Noun,,
lectica,4016,Noun,,
malignus,2754,Adjective,,
grabatus,6414,Noun,,
decet,746,Verb,,
cinaedus,4696,Adjective,,
quaeso,1438,Verb,,
commodo,3501,Verb,,
serapis,11694,Noun,,
sodalis,2196,Noun,,
cinna,3656,Noun,,
insulsus,7452,Adjective,,
neglegens,3625,Adjective,,
furius,5531,Noun,,
aurelius,6619,Noun,,
penetro,2130,Verb,,
indus,2274,Adjective,,
resono,3308,Verb,,
eous,3755,Adjective,,
tundo,4325,Verb,,
unda,392,Noun,,
hyrcanus,6312,Adjective,,
arabs,7129,Noun,,
sagae,10611,Noun,,
sagittifer,11694,Adjective,,
parthus,1837,Adjective,,
septemgeminus,11694,Number,,
coloro,7129,Verb,,
nilus,2361,Noun,,
gradior,3679,Verb,,
monumentum,1220,Noun,,
caeles,6216,Noun,,
moechus,4242,Noun,,
ilia,5294,Noun,,
respecto,5850,Verb,,
pratum,2287,Noun,,
aratrum,2510,Noun,,
marrucinus,11694,Adjective,,
asinius,4242,Noun,,
salsus,4325,Adjective,,
ineptus,2609,Adjective,,
sordidus,1399,Adjective,,
pollio,3720,Noun,,
talentum,3393,Noun,,
lepor,3536,Noun,,
disertus,2787,Adjective,,
facetia,7010,Noun,,
hendecasyllabus,7285,Noun,,
mnemosynum,12372,Noun,,
sudarium,7827,Noun,,
saetabus,12372,Adjective,,
fabullus,5758,Noun,,
veraniolus,12372,Noun,,
ceno,1608,Verb,,
cena,804,Noun,,
cachinnus,5946,Noun,,
sacculus,7285,Noun,,
aranea,7129,Noun,,
merus,2944,Adjective,,
suavis,2121,Adjective,,
elegans,3889,Adjective,,
unguentum,2803,Noun,,
olfacio,8421,Verb,,
nasus,3254,Noun,,
calvus,4757,Noun,,
vatinianus,11694,Noun,,
litterator,14166,Noun,,
dispereo,5458,Verb,,
scilicet,853,Adverb,,
saturnalia,7827,Noun,,
luceo,2298,Verb,,
librarius,9796,Noun,,
scrinium,5946,Noun,,
caesius,8659,Noun,,
aquinus,13204,Noun,,
suffenus,9184,Noun,,
venenum,998,Noun,,
lector,2400,Noun,,
admoveo,1413,Verb,,
pudens,5675,Adjective,,
expeto,1873,Verb,,
integellus,15606,Adjective,,
pudicus,2343,Adjective,,
platea,5170,Noun,,
penis,4814,Noun,,
pudenter,11106,Adverb,,
vecors,5379,Adjective,,
a,1995,Interjection,,
attraho,5170,Verb,,
raphanus,13204,Noun,,
mugilis,12372,Noun,,
pedico,6032,Verb,,
irrumo,6512,Verb,,
pathicus,8421,Adjective,,
versiculus,3679,Noun,,
molliculus,9184,Adjective,,
pilosus,9485,Adjective,,
lumbus,5231,Noun,,
salio,3983,Verb,,
ponticulus,13204,Noun,,
assula,13204,Noun,,
redivivus,9184,Adjective,,
supinus,4054,Adjective,,
cavus,2154,Adjective,,
recumbo,3917,Verb,,
salum,5038,Noun,,
subsilio,8216,Verb,,
sacrum,1029,Noun,,
risus,2091,Noun,,
municeps,4016,Noun,,
putidus,5675,Adjective,,
lividus,5294,Adjective,,
bimulus,13204,Adjective,,
ulna,7010,Noun,,
viridis,1665,Adjective,,
tenellulus,15606,Adjective,,
delicatus,2676,Adjective,,
haedus,4160,Noun,,
adservo,4696,Verb,,
niger,1042,Adjective,,
uva,2251,Noun,,
alnus,6032,Noun,,
ligus,3536,Adjective,,
suppernatus,15606,Adjective,,
usquam,2554,Adverb,,
stupor,5379,Noun,,
stolidus,5294,Adjective,,
veternus,9184,Noun,,
derelinquo,7620,Verb,,
caenum,5379,Noun,,
solea,5675,Noun,,
tenax,3166,Adjective,,
mula,6512,Noun,,
esuritio,10611,Noun,,
haereo,904,Verb,,
irrumatio,15606,Noun,,
satur,3793,Adjective,,
esurio,3720,Verb,,
probe,5170,Adverb,,
dicax,8017,Adjective,,
palimpsestus,15606,Noun,,
liber,504,Noun,,
umbilicus,7285,Noun,,
ruber,2754,Adjective,,
membrana,6414,Noun,,
caprimulgus,15606,Noun,,
fossor,9485,Noun,,
abhorreo,3455,Verb,,
scurra,5758,Noun,,
tritus,8902,Adjective,,
infacetus,9485,Adjective,,
rus,1054,Noun,,
poema,3422,Noun,,
nimirum,2601,Adverb,,
mantica,11106,Noun,,
arca,3081,Noun,,
cimex,11106,Noun,,
